dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.175306,8.624081,0.347733,1.379223,3.866480,4.339220,5.397776
0.020000,5.193743,8.601478,0.376902,1.458427,3.960213,4.686668,5.395680
0.020000,5.213171,8.577586,0.407695,1.539670,4.062150,5.096853,5.394735
0.020000,5.233643,8.552393,0.440158,1.623143,4.173644,5.574693,5.394982
0.020000,5.255222,8.525884,0.474339,1.709061,4.295917,6.113642,5.396467
0.020000,5.277979,8.498049,0.510293,1.797665,4.430158,6.712044,5.399240
0.020000,5.301995,8.468880,0.548077,1.889212,4.577370,7.360616,5.403356
0.020000,5.327364,8.438369,0.587757,1.983986,4.738693,8.066143,5.408877
0.020000,5.354189,8.406514,0.629402,2.082274,4.914410,8.785874,5.415868
0.020000,5.382588,8.373316,0.673090,2.184377,5.105156,9.537290,5.424401
0.020000,5.412692,8.338783,0.718902,2.290592,5.310730,10.278711,5.434554
0.020000,5.444645,8.302933,0.766925,2.401193,5.530061,10.966553,5.446407
0.020000,5.478609,8.265792,0.817254,2.516428,5.761773,11.585611,5.460049
0.020000,5.514756,8.227402,0.869984,2.636478,6.002453,12.033974,5.475571
0.020000,5.553275,8.187823,0.925212,2.761438,6.248038,12.279261,5.493063
0.020000,5.594366,8.147138,0.983038,2.891268,6.491494,12.172801,5.512618
0.020000,5.638237,8.105455,1.043553,3.025761,6.724631,11.656860,5.534324
0.020000,5.685102,8.062921,1.106842,3.164469,6.935397,10.538268,5.558259
0.020000,5.735173,8.019717,1.172975,3.306653,7.109209,8.690592,5.584489
0.020000,5.788648,7.976074,1.242000,3.451225,7.228597,5.969395,5.613059
0.020000,5.845706,7.932269,1.313933,3.596678,7.272671,2.203721,5.643985
0.020000,5.877670,7.908643,1.353681,1.987385,-80.464643,-4386.865679,5.646622
0.020000,5.909088,7.885401,1.392762,1.954022,-1.668191,3939.822560,5.645946
0.020000,5.940854,7.861871,1.432293,1.976582,1.128034,139.811282,5.645319
0.020000,5.972969,7.838051,1.472278,1.999230,1.132407,0.218629,5.644741
0.020000,6.005437,7.813943,1.512717,2.021967,1.136824,0.220870,5.644215
0.020000,6.038258,7.789546,1.553613,2.044793,1.141283,0.222951,5.643741
0.020000,6.071437,7.764861,1.594967,2.067708,1.145787,0.225178,5.643323
0.020000,6.104974,7.739888,1.636781,2.090715,1.150334,0.227360,5.642960
0.020000,6.138874,7.714628,1.679058,2.113813,1.154925,0.229547,5.642656
0.020000,6.173139,7.689081,1.721798,2.137005,1.159561,0.231800,5.642412
0.020000,6.207772,7.663248,1.765004,2.160290,1.164241,0.233992,5.642230
0.020000,6.242776,7.637131,1.808677,2.183669,1.168966,0.236261,5.642111
0.020000,6.278153,7.610730,1.852820,2.207144,1.173736,0.238503,5.642058
0.020000,6.313908,7.584046,1.897434,2.230715,1.178552,0.240775,5.642071
0.020000,6.350044,7.557081,1.942522,2.254383,1.183413,0.243051,5.642153
0.020000,6.386563,7.529836,1.988085,2.278149,1.188319,0.245332,5.642306
0.020000,6.423471,7.502313,2.034125,2.302015,1.193272,0.247640,5.642532
0.020000,6.460770,7.474512,2.080645,2.325980,1.198270,0.249915,5.642832
0.020000,6.498464,7.446437,2.127646,2.350046,1.203315,0.252224,5.643208
0.020000,6.536558,7.418089,2.175130,2.374214,1.208405,0.254523,5.643663
0.020000,6.575056,7.389470,2.223100,2.398485,1.213541,0.256805,5.644198
0.020000,6.613961,7.360583,2.271557,2.422860,1.218723,0.259100,5.644815
0.020000,6.653279,7.331430,2.320504,2.447339,1.223951,0.261363,5.645516
0.020000,6.693013,7.302013,2.369942,2.471923,1.229223,0.263608,5.646304
0.020000,6.733169,7.272336,2.419874,2.496614,1.234539,0.265819,5.647179
0.020000,6.773752,7.242402,2.470303,2.521412,1.239900,0.268024,5.648145
0.020000,6.814766,7.212213,2.521229,2.546318,1.245303,0.270158,5.649202
0.020000,6.856216,7.181774,2.572656,2.571333,1.250748,0.272266,5.650354
0.020000,6.898108,7.151087,2.624585,2.596458,1.256234,0.274307,5.651602
0.020000,6.940448,7.120157,2.677019,2.621693,1.261759,0.276250,5.652948
0.020000,6.983241,7.088988,2.729959,2.647039,1.267322,0.278148,5.654395
0.020000,7.026492,7.057583,2.783409,2.672498,1.272921,0.279945,5.655944
0.020000,7.070208,7.025949,2.837371,2.698069,1.278553,0.281617,5.657598
0.020000,7.114394,6.994088,2.891846,2.723753,1.284217,0.283179,5.659359
0.020000,7.159057,6.962007,2.946837,2.749551,1.289909,0.284585,5.661228
0.020000,7.204203,6.929710,3.002346,2.775464,1.295626,0.285863,5.663209
0.020000,7.249839,6.897203,3.058376,2.801491,1.301365,0.286929,5.665303
0.020000,7.295972,6.864492,3.114929,2.827634,1.307120,0.287794,5.667512
0.020000,7.342607,6.831583,3.172006,2.853891,1.312890,0.288460,5.669838
0.020000,7.389753,6.798482,3.229612,2.880265,1.318668,0.288915,5.672285
0.020000,7.437416,6.765196,3.287747,2.906754,1.324449,0.289047,5.674853
0.020000,7.485603,6.731732,3.346414,2.933358,1.330225,0.288814,5.677545
0.020000,7.534322,6.698098,3.405615,2.960078,1.335993,0.288377,5.680363
0.020000,7.583580,6.664300,3.465354,2.986913,1.341745,0.287610,5.683310
0.020000,7.633385,6.630347,3.525631,3.013862,1.347471,0.286328,5.686387
0.020000,7.683745,6.596248,3.586450,3.040926,1.353163,0.284579,5.689597
0.020000,7.734668,6.562011,3.647812,3.068102,1.358812,0.282442,5.692942
0.020000,7.786161,6.527644,3.709719,3.095390,1.364414,0.280130,5.696424
0.020000,7.838232,6.493158,3.772175,3.122789,1.369949,0.276723,5.700044
0.020000,7.890890,6.458562,3.835181,3.150297,1.375405,0.272794,5.703805
0.020000,7.936849,6.428466,3.890117,2.746814,-20.174185,-1077.479486,5.702333
0.020000,7.984940,6.396826,3.947683,2.878294,6.574039,1337.411212,5.700235
0.020000,8.033562,6.364700,4.005960,2.913833,1.776936,-239.855175,5.698429
0.020000,8.082728,6.332097,4.064953,2.949680,1.792332,0.769822,5.696920
0.020000,8.132452,6.299027,4.124670,2.985838,1.807926,0.779664,5.695716
0.020000,8.182748,6.265501,4.185117,3.022313,1.823740,0.790746,5.694820
0.020000,8.233632,6.231528,4.246299,3.059109,1.839799,0.802946,5.694240
0.020000,8.285118,6.197122,4.308223,3.096231,1.856121,0.816083,5.693981
0.020000,8.337225,6.162295,4.370897,3.133686,1.872732,0.830544,5.694051
0.020000,8.389967,6.127060,4.434327,3.171479,1.889642,0.845504,5.694454
0.020000,8.443365,6.091432,4.498519,3.209616,1.906863,0.861027,5.695198
0.020000,8.497436,6.055426,4.563481,3.248104,1.924403,0.877005,5.696289
0.020000,8.552200,6.019059,4.629220,3.286949,1.942263,0.893025,5.697734
0.020000,8.607676,5.982348,4.695743,3.326158,1.960444,0.909032,5.699540
0.020000,8.663887,5.945313,4.763058,3.365737,1.978931,0.924345,5.701713
0.020000,8.720853,5.907972,4.831172,3.405691,1.997695,0.938211,5.704262
0.020000,8.778597,5.870347,4.900092,3.446026,2.016734,0.951953,5.707192
0.020000,8.837142,5.832460,4.969827,3.486745,2.035996,0.963103,5.710511
0.020000,8.896512,5.794335,5.040384,3.527854,2.055425,0.971448,5.714226
0.020000,8.956731,5.755997,5.111771,3.569354,2.074980,0.977737,5.718346
0.020000,9.017824,5.717472,5.183996,3.611245,2.094595,0.980748,5.722876
0.020000,9.079816,5.678791,5.257067,3.653528,2.114148,0.977679,5.727825
0.020000,9.142733,5.639981,5.330991,3.696200,2.133578,0.971500,5.733200
0.020000,9.206602,5.601076,5.405776,3.739255,2.152746,0.958397,5.739008
0.020000,9.271449,5.562110,5.481430,3.782686,2.171537,0.939559,5.745255
0.020000,9.337300,5.523117,5.557959,3.826481,2.189762,0.911227,5.751950
0.020000,9.404182,5.484137,5.635372,3.870626,2.207278,0.875809,5.759098
0.020000,9.472122,5.445209,5.713674,3.915104,2.223876,0.829911,5.766706
0.020000,9.541145,5.406375,5.792872,3.959891,2.239342,0.773294,5.774779
0.020000,9.611278,5.367681,5.872971,4.004960,2.253436,0.704674,5.783323
0.020000,9.682546,5.329174,5.953976,4.050278,2.265909,0.623689,5.792343
0.020000,9.754972,5.290902,6.035893,4.095806,2.276434,0.526228,5.801842
0.020000,9.828580,5.252919,6.118723,4.141502,2.284785,0.417524,5.811823
0.020000,9.903391,5.215278,6.202469,4.187314,2.290586,0.290057,5.822290
0.020000,9.979424,5.178038,6.287133,4.233184,2.293504,0.145933,5.833242
0.020000,10.056698,5.141256,6.372713,4.279048,2.293181,-0.016190,5.844680
0.020000,10.135227,5.104996,6.459210,4.324835,2.289388,-0.189622,5.856602
0.020000,10.215025,5.069321,6.546619,4.370466,2.281515,-0.393630,5.869006
0.020000,10.296101,5.034298,6.634937,4.415857,2.269558,-0.597866,5.881886
0.020000,10.378461,4.999995,6.724155,4.460911,2.252702,-0.842830,5.895237
0.020000,10.462108,4.966482,6.814266,4.505535,2.231206,-1.074765,5.909051
0.020000,10.547040,4.933830,6.905258,4.549622,2.204376,-1.341493,5.923317
0.020000,10.630014,4.903276,6.993679,4.421047,-6.428776,-431.657630,5.937176
0.020000,10.711537,4.874314,7.080194,4.325749,-4.764916,83.193015,5.946486
