dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.996972,10.963677,0.000200,0.020000,1.000000,50.000000,0.001762
0.020000,4.997503,10.963677,0.000731,0.026535,0.326770,-33.661521,0.001264
0.020000,4.998388,10.963678,0.001616,0.044247,0.885575,27.940270,0.000433
0.020000,5.000508,10.963678,0.003736,0.105995,3.087390,110.090772,6.282454
0.020000,5.003905,10.963673,0.007133,0.169850,3.192744,5.267679,6.280954
0.020000,5.008061,10.963660,0.011289,0.207846,1.899820,-64.646204,6.279116
0.020000,5.012981,10.963634,0.016209,0.245993,1.907347,0.376355,6.276938
0.020000,5.018667,10.963591,0.021895,0.284287,1.914722,0.368767,6.274417
0.020000,5.025121,10.963526,0.028350,0.322728,1.922032,0.365503,6.271548
0.020000,5.032351,10.963430,0.035580,0.361509,1.939029,0.849840,6.268328
0.020000,5.040358,10.963297,0.043588,0.400431,1.946123,0.354695,6.264751
0.020000,5.049149,10.963117,0.052381,0.439648,1.960862,0.736923,6.260814
0.020000,5.058730,10.962882,0.061965,0.479156,1.975398,0.726834,6.256511
0.020000,5.069105,10.962581,0.072344,0.518971,1.990717,0.765928,6.251835
0.020000,5.080282,10.962202,0.083528,0.559186,2.010782,1.003261,6.246780
0.020000,5.092267,10.961733,0.095521,0.599692,2.025287,0.725237,6.241340
0.020000,5.105066,10.961160,0.108333,0.640600,2.045399,1.005629,6.235507
0.020000,5.118686,10.960467,0.121972,0.681919,2.065959,1.027975,6.229274
0.020000,5.133136,10.959640,0.136445,0.723635,2.085788,0.991460,6.222633
0.020000,5.148420,10.958659,0.151761,0.765811,2.108799,1.150552,6.215575
0.020000,5.164547,10.957506,0.167929,0.808389,2.128910,1.005568,6.208093
0.020000,5.181524,10.956162,0.184958,0.851492,2.155147,1.311834,6.200178
0.020000,5.199356,10.954603,0.202858,0.894999,2.175327,1.009006,6.191821
0.020000,5.218050,10.952807,0.221639,0.939024,2.201253,1.296313,6.183013
0.020000,5.237611,10.950750,0.241307,0.983430,2.220341,0.954399,6.173747
0.020000,5.258044,10.948404,0.261875,1.028365,2.246714,1.318646,6.164012
0.020000,5.279352,10.945742,0.283349,1.073689,2.266188,0.973700,6.153802
0.020000,5.301538,10.942735,0.305737,1.119435,2.287340,1.057580,6.143108
0.020000,5.324602,10.939351,0.329049,1.165575,2.306965,0.981227,6.131924
0.020000,5.348545,10.935559,0.353290,1.212075,2.325043,0.903926,6.120242
0.020000,5.373364,10.931323,0.378467,1.258857,2.339099,0.702780,6.108056
0.020000,5.399052,10.926610,0.404585,1.305867,2.350480,0.569084,6.095364
0.020000,5.425603,10.921382,0.431645,1.353030,2.358140,0.382983,6.082161
0.020000,5.453007,10.915601,0.459652,1.400337,2.365377,0.361852,6.068446
0.020000,5.481248,10.909231,0.488603,1.447548,2.360534,-0.242142,6.054219
0.020000,5.510310,10.902232,0.518496,1.494657,2.355440,-0.254691,6.039484
