dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.092839,15.100016,0.000199,0.019949,0.997461,49.873051,0.001085
0.020000,5.092721,15.100016,0.000317,0.005892,-0.702865,-85.016282,0.000975
0.020000,5.092525,15.100016,0.000514,0.009818,0.196323,44.959364,0.000790
0.020000,5.092250,15.100016,0.000789,0.013743,0.196210,-0.005626,0.000532
0.020000,5.091897,15.100016,0.001142,0.017664,0.196052,-0.007887,0.000200
0.020000,5.092575,15.100016,0.001820,0.033911,0.812357,30.815221,6.282980
0.020000,5.094659,15.100015,0.003904,0.104177,3.513336,135.048936,6.282502
0.020000,5.097063,15.100012,0.006308,0.120208,0.801541,-135.589746,6.281949
0.020000,5.099788,15.100008,0.009033,0.136262,0.802680,0.056963,6.281324
0.020000,5.102834,15.100001,0.012079,0.152307,0.802243,-0.021861,6.280625
0.020000,5.106201,15.099992,0.015446,0.168358,0.802565,0.016125,6.279853
0.020000,5.109890,15.099978,0.019135,0.184434,0.803812,0.062350,6.279008
0.020000,5.113900,15.099959,0.023145,0.200503,0.803419,-0.019651,6.278091
0.020000,5.118232,15.099935,0.027477,0.216583,0.803994,0.028766,6.277100
0.020000,5.122885,15.099904,0.032130,0.232674,0.804566,0.028565,6.276038
0.020000,5.127860,15.099866,0.037106,0.248777,0.805135,0.028479,6.274903
0.020000,5.133158,15.099819,0.042404,0.264891,0.805706,0.028517,6.273696
0.020000,5.138778,15.099762,0.048024,0.281016,0.806279,0.028687,6.272417
0.020000,5.144721,15.099694,0.053967,0.297153,0.806859,0.028996,6.271067
0.020000,5.150986,15.099613,0.060233,0.313313,0.807968,0.055436,6.269645
0.020000,5.157575,15.099519,0.066823,0.329486,0.808647,0.033936,6.268153
0.020000,5.164488,15.099410,0.073736,0.345663,0.808863,0.010790,6.266589
0.020000,5.171724,15.099284,0.080974,0.361879,0.810797,0.096729,6.264956
0.020000,5.179285,15.099140,0.088536,0.378090,0.810550,-0.012382,6.263252
0.020000,5.187170,15.098975,0.096422,0.394346,0.812810,0.113026,6.261479
0.020000,5.195380,15.098790,0.104634,0.410602,0.812816,0.000302,6.259637
0.020000,5.203915,15.098580,0.113172,0.426885,0.814136,0.066008,6.257726
0.020000,5.212776,15.098346,0.122036,0.443204,0.815942,0.090288,6.255747
0.020000,5.221963,15.098084,0.131227,0.459538,0.816685,0.037159,6.253699
0.020000,5.231477,15.097794,0.140745,0.475898,0.818005,0.066012,6.251585
0.020000,5.241317,15.097472,0.150591,0.492286,0.819421,0.070784,6.249403
0.020000,5.251485,15.097117,0.160765,0.508704,0.820870,0.072445,6.247155
